2023-07-27 00:27: Experiment log path in: D:\旧电脑文件\毕业相关\论文\大修\代码\TARGCN\model\experiments\PEMSD8\20230727002757
2023-07-27 00:28: Horizon 01, MAE: 13.32, RMSE: 20.95, MAPE: 8.9398%
2023-07-27 00:28: Horizon 02, MAE: 13.75, RMSE: 21.91, MAPE: 9.0298%
2023-07-27 00:28: Horizon 03, MAE: 14.14, RMSE: 22.70, MAPE: 9.2145%
2023-07-27 00:28: Horizon 04, MAE: 14.47, RMSE: 23.40, MAPE: 9.3626%
2023-07-27 00:28: Horizon 05, MAE: 14.78, RMSE: 24.03, MAPE: 9.5582%
2023-07-27 00:28: Horizon 06, MAE: 15.08, RMSE: 24.62, MAPE: 9.7309%
2023-07-27 00:28: Horizon 07, MAE: 15.38, RMSE: 25.17, MAPE: 9.9602%
2023-07-27 00:28: Horizon 08, MAE: 15.63, RMSE: 25.65, MAPE: 10.1618%
2023-07-27 00:28: Horizon 09, MAE: 15.89, RMSE: 26.09, MAPE: 10.3639%
2023-07-27 00:28: Horizon 10, MAE: 16.15, RMSE: 26.54, MAPE: 10.5581%
2023-07-27 00:28: Horizon 11, MAE: 16.41, RMSE: 26.93, MAPE: 10.7024%
2023-07-27 00:28: Horizon 12, MAE: 16.81, RMSE: 27.46, MAPE: 10.9872%
2023-07-27 00:28: Average Horizon, MAE: 15.15, RMSE: 24.70, MAPE: 9.8808%
