2023-07-27 00:26: Experiment log path in: D:\旧电脑文件\毕业相关\论文\大修\代码\TARGCN\model\experiments\PEMS03\20230727002655
2023-07-27 00:27: Horizon 01, MAE: 13.34, RMSE: 23.18, MAPE: 334691.9688%
2023-07-27 00:27: Horizon 02, MAE: 13.80, RMSE: 24.17, MAPE: 346587.0625%
2023-07-27 00:27: Horizon 03, MAE: 14.26, RMSE: 25.15, MAPE: 362247.4375%
2023-07-27 00:27: Horizon 04, MAE: 14.68, RMSE: 26.00, MAPE: 381399.2812%
2023-07-27 00:27: Horizon 05, MAE: 15.03, RMSE: 26.68, MAPE: 389754.0312%
2023-07-27 00:27: Horizon 06, MAE: 15.28, RMSE: 27.17, MAPE: 400762.2500%
2023-07-27 00:27: Horizon 07, MAE: 15.51, RMSE: 27.58, MAPE: 403716.0625%
2023-07-27 00:27: Horizon 08, MAE: 15.80, RMSE: 28.07, MAPE: 409978.2812%
2023-07-27 00:27: Horizon 09, MAE: 16.07, RMSE: 28.54, MAPE: 424908.0938%
2023-07-27 00:27: Horizon 10, MAE: 16.34, RMSE: 28.97, MAPE: 446060.3125%
2023-07-27 00:27: Horizon 11, MAE: 16.65, RMSE: 29.41, MAPE: 454171.9688%
2023-07-27 00:27: Horizon 12, MAE: 16.98, RMSE: 29.88, MAPE: 462480.1250%
2023-07-27 00:27: Average Horizon, MAE: 15.31, RMSE: 27.14, MAPE: 401396.3125%
